index,problem
13,'reasoning'
25,'reasoning'
28,'reasoning'
54,Debiasing tool not activated
107,'reasoning'
109,'reasoning'
133,'reasoning'
145,'reasoning'
213,'reasoning'
247,'reasoning'
248,'reasoning'
250,'reasoning'
276,'reasoning'
285,'reasoning'
458,'reasoning'
520,'reasoning'
571,'reasoning'
588,'reasoning'
610,'reasoning'
699,'reasoning'
749,Debiasing tool not activated
796,'reasoning'
836,'reasoning'
863,'reasoning'
868,'reasoning'
872,'reasoning'
875,'reasoning'
880,'reasoning'
884,'reasoning'
902,'reasoning'
910,'reasoning'
912,'reasoning'
913,'reasoning'
935,'reasoning'
975,Debiasing tool not activated
1011,'reasoning'
1052,'reasoning'
1065,Debiasing tool not activated
1066,Debiasing tool not activated
1077,'reasoning'
1095,'reasoning'
